timestamp_us,event,value_us
2340013265,udp_decode_us,84
2340013325,udp_write_slice_us,59
2340013330,udp_inter_packet_us,149
2340013427,udp_decode_us,97
2340013495,udp_write_slice_us,67
2340013500,udp_inter_packet_us,170
2340013724,udp_decode_us,224
2340013772,udp_write_slice_us,47
2340013802,udp_inter_packet_us,302
2340013886,udp_decode_us,84
2340013923,udp_write_slice_us,36
2340013928,udp_inter_packet_us,126
2340014011,udp_decode_us,83
2340014142,udp_write_slice_us,129
2340014168,udp_inter_packet_us,239
2340014299,udp_decode_us,132
2340014337,udp_write_slice_us,37
2340014342,udp_inter_packet_us,175
2340014448,udp_decode_us,106
2340014487,udp_write_slice_us,39
2340014492,udp_inter_packet_us,150
2340014586,udp_decode_us,94
2340014635,udp_write_slice_us,47
2340014640,udp_inter_packet_us,147
2340014749,udp_decode_us,110
2340014783,udp_write_slice_us,34
2340014788,udp_inter_packet_us,149
2340014872,udp_decode_us,84
2340014938,udp_write_slice_us,66
2340014943,udp_inter_packet_us,154
2340015026,udp_decode_us,84
2340015088,udp_write_slice_us,61
2340015094,udp_inter_packet_us,151
2340015186,udp_decode_us,93
2340015252,udp_write_slice_us,65
2340015303,udp_inter_packet_us,209
2340015410,udp_decode_us,107
2340015454,udp_write_slice_us,43
2340015459,udp_inter_packet_us,156
2340015546,udp_decode_us,88
2340015594,udp_write_slice_us,48
2340015602,udp_inter_packet_us,144
2340015692,udp_decode_us,90
2340015731,udp_write_slice_us,39
2340015736,udp_inter_packet_us,134
2340015826,udp_decode_us,89
2340015866,udp_write_slice_us,40
2340015871,udp_inter_packet_us,135
2340015988,udp_decode_us,117
2340016028,udp_write_slice_us,39
2340016200,udp_inter_packet_us,329
2340016295,udp_decode_us,94
2340016337,udp_write_slice_us,42
2340016342,udp_inter_packet_us,142
2340016437,udp_decode_us,95
2340016491,udp_write_slice_us,54
2340016496,udp_inter_packet_us,154
2340016606,udp_decode_us,109
2340016651,udp_write_slice_us,45
